web-scraper-start-url,Name,Constellation,Right ascension,Declination,Apparent magnitude,Distance,Proper motion RA,Proper motion Dec,B-T magnitude,V-T magnitude,Proper names,HD,TYCHO-2 2000,USNO-A2.0,BSC,HIP
https://server6.sky-map.org/starview?object_type=1&object_id=229&object_name=HD+1,ε Ori (Alnilam),Orion,05h36m12.80s,-01Â°12'07.0",1.7,411.523 parsecs,,,,,,,,USNO-A2 0825-01598320,,
https://server6.sky-map.org/starview?object_type=1&object_id=230&object_name=HD+1,αβ Cru,Crux,12h26m36.50s,-63Â°05'58.0",1.73,,,,,,,,,USNO-A2 0225-14358864,,
https://server6.sky-map.org/starview?object_type=1&object_id=231&object_name=HD+1,α Gru (Alnair),Grus,22h08m14.00s,-46Â°57'40.0",1.74,31.095 parsecs,,,,,,,,USNO-A2 0375-39762684,,
https://server6.sky-map.org/starview?object_type=1&object_id=232&object_name=HD+1,ε UMa (Alioth),Ursa Major,12h54m01.70s,+55Â°57'35.0",1.77,24.814 parsecs,,,,,,,,USNO-A2 1425-07873598,,
https://server6.sky-map.org/starview?object_type=1&object_id=233&object_name=HD+1,γβ Vel (Regor),Vela,08h09m32.00s,-47Â°20'12.0",1.78,257.732 parsecs,,,,,,,,USNO-A2 0375-04914004,,
https://server6.sky-map.org/starview?object_type=1&object_id=234&object_name=HD+1,α Per (Mirfak),Perseus,03h24m19.40s,+49Â°51'40.0",1.79,181.488 parsecs,,,,,,,,USNO-A2 1350-03397027,,
https://server6.sky-map.org/starview?object_type=1&object_id=235&object_name=HD+1,α UMa (Dubhe),Ursa Major,11h03m43.70s,+61Â°45'03.0",1.79,37.908 parsecs,,,,,,,,USNO-A2 1500-05387378,,
https://server6.sky-map.org/starview?object_type=1&object_id=236&object_name=HD+1,δ CMa (Wezen),Canis Major,07h08m23.50s,-26Â°23'36.0",1.84,549.451 parsecs,0,0,2.687,1.905,,,TYC 6532-5001-1,USNO-A2 0600-05018552,,HIP 34444
https://server6.sky-map.org/starview?object_type=1&object_id=237&object_name=HD+1,ε Sgr (Kaus Australis),Sagittarius,18h24m10.30s,-34Â°23'05.0",1.85,44.346 parsecs,,,,,,,,USNO-A2 0525-35342784,,
https://server6.sky-map.org/starview?object_type=1&object_id=238&object_name=HD+1,ε Car (Avior),Carina,08h22m30.80s,-59Â°30'35.0",1.86,193.798 parsecs,,,,,,,,USNO-A2 0300-04138779,,
https://server6.sky-map.org/starview?object_type=1&object_id=239&object_name=HD+1,η UMa (Alkaid),Ursa Major,13h47m32.40s,+49Â°18'48.0",1.86,30.874 parsecs,,,,,,,,USNO-A2 1350-08329167,,
https://server6.sky-map.org/starview?object_type=1&object_id=240&object_name=HD+1,θ Sco (Sargas),Scorpius,17h37m19.20s,-42Â°59'52.0",1.87,83.403 parsecs,,,,,,,,USNO-A2 0450-29071250,,
https://server6.sky-map.org/starview?object_type=1&object_id=241&object_name=HD+1,β Aur (Menkalinan),Auriga,05h59m31.70s,+44Â°56'51.0",1.9,25.176 parsecs,,,,,,,,USNO-A2 1275-05768828,,
https://server6.sky-map.org/starview?object_type=1&object_id=242&object_name=HD+1,α TrA (Atria),Triangulum Australe,16h48m39.90s,-69Â°01'40.0",1.92,127.389 parsecs,17.3,-32.7,3.79,2.052,,,TYC 9275-3641-1,USNO-A2 0150-16956198,,HIP 82273
https://server6.sky-map.org/starview?object_type=1&object_id=243&object_name=HD+1,γ Gem (Alhena),Gemini,06h37m42.70s,+16Â°23'57.0",1.93,32.134 parsecs,,,,,,,,USNO-A2 1050-03969433,,
https://server6.sky-map.org/starview?object_type=1&object_id=244&object_name=HD+1,α Pav (Peacock),Pavo,20h25m38.90s,-56Â°44'06.0",1.94,56.18 parsecs,,,,,,,,USNO-A2 0300-36593208,,
https://server6.sky-map.org/starview?object_type=1&object_id=245&object_name=HD+1,δ Vel (Alsephina),Vela,08h44m42.20s,-54Â°42'30.0",1.96,24.45 parsecs,,,,,,,,USNO-A2 0300-04917297,,
https://server6.sky-map.org/starview?object_type=1&object_id=246&object_name=HD+1,β CMa (Murzim),Canis Major,06h22m42.00s,-17Â°57'21.0",1.98,153.139 parsecs,,,,,,,,USNO-A2 0675-03041501,,
https://server6.sky-map.org/starview?object_type=1&object_id=247&object_name=HD+1,α Gem (Castor),Gemini,07h34m36.00s,+31Â°53'18.0",1.98,15.805 parsecs,,,,,,,,,,
