id,x,y,z,diameter,Right ascension,Declination,distance,Constellation,name
244,19.00096901571748,-25.76091132956202,-46.16850684107281,0.1,20h25m38.90s,"-56Â°44'06.0""",56.18,Pavo,α Pav (Peacock)
245,-9.621966430262813,11.000442201432232,-19.601289074646196,0.1,08h44m42.20s,"-54Â°42'30.0""",24.45,Vela,δ Vel (Alsephina)
246,-14.553391396298947,146.45274489509436,-42.3242912824131,0.1,06h22m42.00s,"-17Â°57'21.0""",153.139,Canis Major,β CMa (Murzim)
247,-5.383292447509051,12.292617858095024,8.349235511077364,0.1,07h34m36.00s,"+31Â°53'18.0""",15.805,Gemini,α Gem (Castor)
248,-42.415811567767605,33.26222953485417,-6.944646817391488,0.1,09h27m35.20s,"-08Â°39'31.0""",54.348,Hydra,α Hya (Alphard)
249,15.757343597542508,9.767428855330833,8.046586624466105,0.1,02h07m10.40s,"+23Â°27'45.0""",20.21,Aries,α Ari (Hamal)
251,1.3394712436917762,1.0447381547931485,132.2640917406355,0.1,02h31m48.70s,"+89Â°15'51.0""",132.275,Ursa Minor,α UMi (Polaris)
252,14.799162348373766,-60.17771311151838,-29.828942563461144,0.1,18h55m15.90s,"-26Â°17'48.0""",68.776,Sagittarius,σ Sgr (Nunki)
253,27.72789905150227,5.3382970288284,-8.103969892694652,0.1,00h43m35.40s,"-17Â°59'12.0""",29.377,Cetus,β Cet (Diphda)
254,21.017321482894484,249.74407435210935,-0.2503051992077142,0.1,05h40m45.50s,"-01Â°56'34.0""",250.627,Orion,ζ Ori (Alnitak)
255,25.990176063784737,0.9516916750157317,14.4700267839827,0.1,00h08m23.30s,"+29Â°05'26.0""",29.762,Andromeda,α And (Alpheratz)
256,47.40576376177868,14.885980712423907,35.600095019420586,0.1,01h09m43.90s,"+35Â°37'14.0""",61.125,Andromeda,β And (Mirach)
257,11.688686798938253,218.59249979267756,-32.05290558287328,0.1,05h47m45.40s,"-09Â°40'11.0""",221.239,Orion,κ Ori (Saiph)
258,-12.925406068142948,-7.973806803762395,-10.884921131082482,0.1,14h06m41.00s,"-36Â°22'12.0""",18.685,Centaurus,θ Cen (Menkent)
259,-7.783225718523291,-7.176182790252553,37.30180187303826,0.1,14h50m42.30s,"+74Â°09'20.0""",38.775,Ursa Minor,β UMi (Kochab)
260,-1.525393054918318,-13.8918564786242,3.113619052696354,0.1,17h34m56.10s,"+12Â°33'36.0""",14.318,Ophiucus,α Oph (Rasalhague)
261,34.736144953210584,-12.186832876647202,-36.96036476045946,0.1,22h42m40.10s,"-46Â°53'05.0""",52.165,Grus,β Gru (Tiaki)
262,14.6459606930543,15.729016243993803,18.653462074737963,0.1,03h08m10.10s,"+40Â°57'20.0""",28.458,Perseus,β Per (Algol)
263,-10.722002848208147,0.5122012737377729,2.790445444404492,0.1,11h49m03.60s,"+14Â°34'19.0""",11.091,Leo,β Leo (Denebola)
264,-26.802593520233323,-4.90912312632361,-29.261608751395425,0.1,12h41m31.00s,"-48Â°57'35.0""",39.984,Centaurus,γ Cen (Muhlifain)
265,207.3769773814333,-290.1199664316922,301.9687706200996,0.1,20h22m13.70s,"+40Â°15'24.0""",467.29,Cygnus,γ Cyg (Sadr)
266,-94.66097875479694,88.27536481390159,-118.8855208894526,0.1,09h07m59.80s,"-43Â°25'57.0""",175.747,Vela,λ Vel (Alsuhail)
267,38.03811060605,6.794171908168977,58.4613316526758,0.1,00h40m30.50s,"+56Â°32'14.0""",70.077,Cassiopeia,α Cas (Schedar)
268,34.2244000202751,278.8024165249469,1.466691549783374,0.1,05h32m00.40s,"-00Â°17'57.0""",280.899,Orion,δ Ori (Mintaka)
269,-12.123283967258462,-16.48700856578579,10.29915697525385,0.1,15h34m41.30s,"+26Â°42'53.0""",22.91,Corona Borealis,α CrB (Alphecca)
270,-0.4171501876238676,-28.171943335181723,35.406773298908156,0.1,17h56m36.40s,"+51Â°29'20.0""",45.249,Draco,γ Dra (Eltanin)
271,-168.82919097930755,282.13492600661243,-275.8556724548469,0.1,08h03m35.10s,"-40Â°00'12.0""",429.185,Puppis,ζ Pup (Naos)
272,-83.52925238743308,71.91627227625689,-181.46114838577373,0.1,09h17m05.40s,"-59Â°16'31.0""",212.314,Carina,ι Car (Aspidiske)
273,68.97222415332566,41.40174398953564,73.27492399155626,0.1,02h03m54.00s,"+42Â°19'47.0""",108.814,Andromeda,γα And (Almach)
274,8.555296483642234,0.342806094435678,14.334545512802162,0.1,00h09m10.70s,"+59Â°08'59.0""",16.697,Cassiopeia,β Cas (Caph)
275,-12.85773998096768,-4.930796861973837,19.612217133403714,0.1,13h23m55.50s,"+54Â°55'31.0""",23.964,Ursa Major,ζ UMa (Mizar)
276,-5.0067457693455335,-15.918918901998094,-11.13212099254892,0.1,16h50m09.80s,"-34Â°17'36.0""",20.06,Scorpius,ε Sco (Larawag)
277,-63.52864119577442,-29.58565408539446,-91.44098462482746,0.1,13h39m53.20s,"-53Â°27'59.0""",115.207,Centaurus,ε Cen
278,-87.81318745334926,-74.95317372735329,-122.13673626915096,0.1,14h41m55.80s,"-47Â°23'18.0""",168.067,Lupus,α Lup (Kakkab)
279,-54.86918817587123,-44.236971970663404,-63.110592999809256,0.1,14h35m30.40s,"-42Â°09'28.0""",94.607,Centaurus,η Cen (Marfikent)
280,-57.19514197975595,-99.39848030277786,-44.89230731889201,0.1,16h00m20.00s,"-22Â°37'18.0""",123.153,Scorpius,δ Sco (Dschubba)
281,-13.048996757782932,3.3843197156496765,20.276682782882297,0.1,11h01m50.50s,"+56Â°22'57.0""",24.349,Ursa Major,β UMa (Merak)
282,17.603011475666165,2.0276575998672075,-15.784026471254604,0.1,00h26m17.00s,"-42Â°18'22.0""",23.73,Phoenix,α Phe (Ankaa)
283,168.49585819162868,-113.45232541750522,35.36074413282409,0.1,21h44m11.20s,"+09Â°52'30.0""",206.186,Pegasus,ε Peg (Enif)
284,-8.442187411148232,-110.27162909046496,-89.4616722035195,0.1,17h42m29.30s,"-39Â°01'48.0""",142.248,Scorpius,κ Sco (Girtab)
285,52.281388731936936,-13.089745460452955,28.756504047617636,0.1,23h03m46.50s,"+28Â°04'58.0""",61.087,Pegasus,β Peg (Scheat)
286,-5.369954489606156,-24.41294878077012,-6.36006050341137,0.1,17h10m22.70s,"-15Â°43'29.0""",25.793,Ophiucus,η Oph (Sabik)
287,-15.18035513900047,0.40877978628395145,20.669049831575414,0.1,11h53m49.80s,"+53Â°41'41.0""",25.648,Ursa Major,γ UMa (Phad)
288,5.249283255400841,-4.46038600613599,13.280869812660411,0.1,21h18m34.80s,"+62Â°35'08.0""",14.961,Cepheus,α Cep (Alderamin)
289,-308.5192386001236,802.7253853440792,-470.7614138837205,0.1,07h24m05.70s,"-29Â°18'11.0""",980.392,Canis Major,η CMa (Aludra)
290,12.15451426401309,-13.712638981915788,12.345863281178268,0.1,20h46m12.70s,"+33Â°58'13.0""",22.095,Cygnus,ε Cyg (Aljanah)
291,89.1413047833275,22.518284790943422,163.94961278270796,0.1,00h56m42.50s,"+60Â°43'00.0""",187.97,Cassiopeia,γ Cas
292,40.11531800347753,-9.860381969780777,11.227599604986516,0.1,23h04m45.70s,"+15Â°12'19.0""",42.808,Pegasus,α Peg (Markab)
293,-73.20411690652246,60.28404264739379,-135.3788941859971,0.1,09h22m06.80s,"-55Â°00'39.0""",165.289,Vela,κ Vel (Markab)
294,47.11543825598632,48.06233382795961,4.812288536248547,0.1,03h02m16.80s,"+04Â°05'23.0""",67.476,Cetus,α Cet (Menkar)
295,-70.79823420573656,-39.05854528538635,-85.83906860246736,0.1,13h55m32.40s,"-47Â°17'18.0""",117.925,Centaurus,ζ Cen (Alnair)
296,-16.23889859894226,3.2958482767352253,6.203048075745716,0.1,11h14m06.50s,"+20Â°31'25.0""",17.693,Leo,δ Leo (Zosma)
297,-48.99747630078774,-129.5967971976268,-23.01823349588187,0.1,16h37m09.50s,"-10Â°34'02.0""",140.449,Ophiucus,ζ Oph
298,44.88453445652597,375.43764553946687,-109.69243492330072,0.1,05h32m43.80s,"-17Â°49'20.0""",393.701,Lepus,α Lep (Arneb)
299,-48.3693189030208,-3.3413119707004246,-14.323189560022202,0.1,12h15m48.40s,"-17Â°32'31.0""",50.556,Corvus,γ Crv (Gienah)
300,-79.0256487846841,-2.883352503561767,-91.86393229390936,0.1,12h08m21.50s,"-50Â°43'21.0""",121.212,Centaurus,δ Cen
301,6.499938397916728,-23.19742642347954,-12.873982800615398,0.1,19h02m36.70s,"-29Â°52'49.0""",27.315,Sagittarius,ζ Sgr (Ascella)
302,-32.83741646529502,15.317281396599752,13.074877112315448,0.1,10h19m58.30s,"+19Â°50'30.0""",38.521,Leo,γα Leo (Algieba)
